1.143748173448866368e-04 7.186381099970608980e-04
9.233859476879779926e-02 5.481749109919547003e-01
1.467558908171130438e-01 7.968687382785424322e-01
1.862602113776709034e-01 9.208704959976052873e-01
3.023325726318397688e-01 9.464255890012647221e-01
3.455607270430477440e-01 8.250951401358449511e-01
3.967674742306699365e-01 6.040944774579687371e-01
4.170220047025740007e-01 4.980652197092492739e-01
5.388167340033569452e-01 -2.414819750403917609e-01
7.203244934421580981e-01 -9.826672516685445169e-01
