6.1101,17.592
5.5277,9.1302
8.5186,13.662
7.0032,11.854
5.8598,6.8233
8.3829,11.886
7.4764,4.3483
8.5781,12
6.4862,6.5987
3.0546,3.8166
4.7107,3.2522
14.164,15.505
2.734,3.1551
8.4084,7.2258
1.6407,1.71618
3.3794,3.5129
6.3654,5.3048
5.1301,1.56077
6.4296,3.6518
7.0708,4.3893
6.1891,3.1386
21.27,21.767
5.4901,4.263
6.3261,5.1875
2.5649,3.0825
18.945,22.638
12.828,13.501
11.957,7.0467
13.176,14.692
22.203,24.147
1.2524,1.22
6.5894,5.9966
9.2482,12.134
4.8918,1.8495
8.2111,6.5426
7.9334,4.5623
8.0959,4.1164
4.6063,3.3928
12.836,11.117
6.3534,5.4974
1.4069,1.55657
6.8825,3.9115
11.708,5.3854
3.7737,2.4406
7.8247,6.7318
7.0931,1.0463
5.0702,5.1337
3.8014,1.844
11.7,8.0043
5.5416,1.0179
7.5402,6.7504
5.3077,1.8396
7.4239,4.2885
7.6031,4.9981
6.3328,1.4233
2.3589,1.4211
6.2742,2.4756
5.6397,4.6042
9.3102,3.9624
9.4536,5.4141
8.8254,5.1694
1.1793,1.74279
21.279,17.929
14.908,12.054
18.959,17.054
7.2182,4.8852
8.2951,5.7442
11.236,7.7754
5.4994,1.0173
21.341,21.992
11.136,6.6799
7.3345,4.0259
6.0062,1.2784
7.2259,3.3411
3.0269,2.6807
6.5479,1.29678
7.5386,3.8845
5.0365,5.7014
11.274,6.7526
5.1077,2.0576
5.7292,2.47953
5.1884,2.20421
6.3557,1.67861
9.7687,7.5435
6.5159,5.3436
8.5172,4.2415
9.1802,6.7981
6.002,1.92695
5.5204,4.152
5.0594,2.8214
5.7077,1.8451
7.6366,4.2959
5.8707,7.2029
5.3054,1.9869
8.2934,1.14454
13.394,9.0551
5.4369,1.61705
